publisher,book_summary,isbn,subcategory,title,country,price,writer,book_image_path,maincategory,publish_date,evaluation,categoryid
민음사,"노벨문학상 수상 이후 처음으로 발표하는 거장 가즈오 이시구로의 장편소설. 인간 소녀 조시와 그녀의 동반자가 된 인공지능 로봇 클라라 두 존재가 그려내는 가슴 저미는 슬픔과 사랑, 그리고 대가를 바라지 않는 헌신의 이야기를 담았다.",8937417561,영미소설,"클라라와 태양",국내도서,17000,"가즈오 이시구로 (지은이), 홍한별 (옮긴이)",https://image.aladin.co.kr/product/26722/1/cover/8937417561_1.jpg,소설/시/희곡,2021-03-29,9,50919
문학동네,"한국문학과 독자를 잇는 단단한 가교 역할을 하며 지금의 한국문학장을 생기롭게 만드는 젊은작가상이 올해로 12회를 맞았다. 해를 거듭할수록 젊은작가상을 향한 관심과 응원이 뜨거워지는 만큼 상이 지닌 무게를 깊이 헤아리게 되는 올해, 젊은작가상에 이름을 올린 수상 작가는 전하영 김멜라 김지연 김혜진 박서련 서이제 한정현이다.",8954678408,한국소설,"2021 제12회 젊은작가상 수상작품집",국내도서,5500,"전하영, 김멜라, 김지연, 김혜진, 박서련, 서이제, 한정현 (지은이)",https://image.aladin.co.kr/product/26855/25/cover/8954678408_1.jpg,소설/시/희곡,2021-04-07,10,50993
레인보우퍼블릭북스,"&lt;순수의 시대&gt;로 여성 최초로 퓰리처상을 받은 이디스 워튼은 문학 작품뿐만 아니라 유령과 영혼, 사후세계 등에 관한 고딕소설을 통해서도 탁월한 글솜씨를 유감없이 발휘한다. 책에는 선명하고 잘 짜인 전개 과정에 혼령과 사후세계 등 초자연적인 현상을 다룬 8개의 단편이 수록되었다.",K912730880,영미소설,"이디스 워튼의 환상 이야기",국내도서,15000,"이디스 워튼 (지은이), 성소희 (옮긴이)",https://image.aladin.co.kr/product/26675/66/cover/k912730880_1.jpg,소설/시/희곡,2021-03-12,9,50919
비채,"《여름은 오래 그곳에 남아》의 작가 마쓰이에 마사시의 신작. 홋카이도에 위치한 가상의 작은 마을 ‘에다루’에 터를 잡고 사는 ‘소에지마’ 가족 3대와 그 곁을 지키는 네 마리의 홋카이도견 그리고 그 주변 사람들의 이야기를 담은 소설이다.",8934990066,일본소설,"우리는 모두 집으로 돌아간다",국내도서,15500,"마쓰이에 마사시 (지은이), 송태욱 (옮긴이)",https://image.aladin.co.kr/product/26838/73/cover/8934990066_1.jpg,소설/시/희곡,2021-04-02,10,50998
레모,"1981년 출간된 아니 에르노의 세 번째 작품으로, 작가 스스로 소설로 명명한 마지막 작품이다. 따라서 아니 에르노 문학 세계의 전환점이라고 말할 수 있다. 아니 에르노는 현실을 변형하는 소설만이 문학이라 여기며, 자신의 경험을 의도적으로 소설의 소재로 사용했다.",K472730291,프랑스소설,"얼어붙은 여자",국내도서,16500,"아니 에르노 (지은이), 김계영, 고광식 (옮긴이)",https://image.aladin.co.kr/product/26820/18/cover/k472730291_2.jpg,소설/시/희곡,2021-03-09,10,50921
다산책방,"장편소설 『외규장각 도서의 비밀』의 조완선 작가가 우리의 현실에 밀착한 사회 미스터리 신작 장편소설. 부정부패와 비리를 일삼는 는 정치인, 기업인, 공직자 들을 엄벌하려는 대한민국 초유의 집행관들이 부정한 사회를 바라보는 독자들의 뜨거운 분노를 통쾌한 카타르시스로 바꿔놓는다.",K222738731,한국소설,집행관들,국내도서,16000,"조완선 (지은이)",https://image.aladin.co.kr/product/26538/94/cover/k222738731_1.jpg,소설/시/희곡,2021-02-23,10,50993
시간의흐름,"말들의 흐름 시리즈 일곱 번째 책. 편혜영, 조해진, 김나영, 한유주, 이주란, 이장욱, 이렇게 여섯 작가의 입담을 모은 앤솔러지이다. 이 책은 당신을 초대했고, 술을 빌려 말함으로써, 녹록지 않은 당신의 일상에서 숭고함을 요구하지 않는다. 그저 당신에게 아무렇지 않은 농담을 건넨다.",K772730391,한국에세이,"술과 농담",국내도서,16000,"편혜영, 조해진, 김나영, 한유주, 이주란, 이장욱 (지은이)",https://image.aladin.co.kr/product/26838/67/cover/k772730391_1.jpg,에세이,2021-04-01,10,51371
비채,"《미니어처리스트》와 《뮤즈》로 밀리언셀러를 기록하며 우리 시대에 또 한 명의 재능 넘치는 스토리텔러가 탄생했음을 증명한 제시 버튼. 런던과 뉴욕을 배경으로 삼십 년이라는 시차를 넘나들며 펼쳐지는 고혹적 이야기가 눈길을 사로잡는다.",8934991542,영미소설,"컨페션 - 두 개의 고백 하나의 진실",국내도서,14800,"제시 버튼 (지은이), 이나경 (옮긴이)",https://image.aladin.co.kr/product/26838/82/cover/8934991542_1.jpg,소설/시/희곡,2021-04-05,10,50919
피니스아프리카에,"에드거 상 후보작. 세계대전을 배경으로 한 일련의 작품 중 첫 번째 작품으로, 팔리를 주변으로 한 켄트의 시골 마을에 거주하는 인물들 가운데에서 독일에 협조하는 배신자를 찾아내는 흥미진진한 이야기이다.",K882730394,영미소설,"팔리 들판에서",국내도서,14800,"리스 보엔 (지은이), 정서진 (옮긴이)",https://image.aladin.co.kr/product/26844/42/cover/k882730394_1.jpg,소설/시/희곡,2021-04-01,0,50919
창비,"2017년 인터내셔널 부커상 최종후보에 오르고 셜리잭슨상 중편 부문을 수상한 아르헨티나 작가 사만타 슈웨블린의 대표작. 환경재앙을 섬뜩하고 독창적인 방식으로 그려낸 이 작품은 현재 우리가 직면한 기후재난과 감염병 창궐이라는 위기에 더욱 의미심장하게 다가올 것이다.",8936478532,스페인/중남미소설,"피버 드림",국내도서,14000,"사만타 슈웨블린 (지은이), 조혜진 (옮긴이)",https://image.aladin.co.kr/product/26684/86/cover/8936478532_1.jpg,소설/시/희곡,2021-03-15,9,50920
